region,provincia,ciudad,dni,candidato,esvalido
Áncash,Carhuaz,Carhuaz,23866100,Michael Otano,1
Áncash,Carhuaz,Carhuaz,78179833,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,34821722,Mary Hill,1
Áncash,Carhuaz,Carhuaz,69683939,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,43109644,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,37713702,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,84115925,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,86341667,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,46051639,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,88253335,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,81516949,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,54353476,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,53282783,Michael Otano,0
Áncash,Carhuaz,Carhuaz,88425495,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,55674892,Mary Hill,1
Áncash,Carhuaz,Carhuaz,83863473,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,54012582,Mary Hill,0
Áncash,Carhuaz,Carhuaz,70639198,Michael Otano,0
Áncash,Carhuaz,Carhuaz,62943900,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,35705048,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,27190069,Michael Otano,0
Áncash,Carhuaz,Carhuaz,11569917,Michael Otano,0
Áncash,Carhuaz,Carhuaz,22117157,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,81350647,Mary Hill,0
Áncash,Carhuaz,Carhuaz,19033502,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,14133621,Mary Hill,1
Áncash,Carhuaz,Carhuaz,23139517,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,23532807,Michael Otano,1
Áncash,Carhuaz,Carhuaz,48761272,Mary Hill,0
Áncash,Carhuaz,Carhuaz,19499805,Michael Otano,0
Áncash,Carhuaz,Carhuaz,47384976,Mary Hill,0
Áncash,Carhuaz,Carhuaz,89950599,Michael Otano,0
Áncash,Carhuaz,Carhuaz,87653385,Michael Otano,0
Áncash,Carhuaz,Carhuaz,35621539,Mary Hill,1
Áncash,Carhuaz,Carhuaz,78507971,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,55766067,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,35943323,Michael Otano,0
Áncash,Carhuaz,Carhuaz,56176684,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,84604506,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,74509034,Michael Otano,0
Áncash,Carhuaz,Carhuaz,75091917,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,34641003,Mary Hill,1
Áncash,Carhuaz,Carhuaz,87500457,Michael Otano,0
Áncash,Carhuaz,Carhuaz,71209759,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,68484246,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,35217735,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,38583552,Mary Hill,1
Áncash,Carhuaz,Carhuaz,45767522,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,30955112,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,17728721,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,65007232,Mary Hill,0
Áncash,Carhuaz,Carhuaz,61416975,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,22066817,Mary Hill,0
Áncash,Carhuaz,Carhuaz,34917944,Michael Otano,0
Áncash,Carhuaz,Carhuaz,54344988,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,71754818,Michael Otano,0
Áncash,Carhuaz,Carhuaz,75851221,Mary Hill,0
Áncash,Carhuaz,Carhuaz,71799219,Michael Otano,1
Áncash,Carhuaz,Carhuaz,24398575,Michael Otano,0
Áncash,Carhuaz,Carhuaz,67099093,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,70108559,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,18427022,Michael Otano,1
Áncash,Carhuaz,Carhuaz,79269541,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,47912081,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,40884193,Michael Otano,0
Áncash,Carhuaz,Carhuaz,35973032,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,83939731,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,26688314,Michael Otano,1
Áncash,Carhuaz,Carhuaz,12214836,Michael Otano,0
Áncash,Carhuaz,Carhuaz,61740192,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,33781178,Mary Hill,1
Áncash,Carhuaz,Carhuaz,60684890,Mary Hill,0
Áncash,Carhuaz,Carhuaz,52155549,Mary Hill,0
Áncash,Carhuaz,Carhuaz,65556547,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,67465754,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,86954603,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,30029486,Mary Hill,0
Áncash,Carhuaz,Carhuaz,70845309,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,73745941,Michael Otano,0
Áncash,Carhuaz,Carhuaz,19939988,Michael Otano,0
Áncash,Carhuaz,Carhuaz,50764840,Michael Otano,0
Áncash,Carhuaz,Carhuaz,34021889,Michael Otano,1
Áncash,Carhuaz,Carhuaz,49776075,Michael Otano,1
Áncash,Carhuaz,Carhuaz,61277998,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,21586516,Mary Hill,1
Áncash,Carhuaz,Carhuaz,25643941,Michael Otano,0
Áncash,Carhuaz,Carhuaz,42890900,Michael Otano,1
Áncash,Carhuaz,Carhuaz,41125951,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,52168567,Michael Otano,0
Áncash,Carhuaz,Carhuaz,88500436,Michael Otano,0
Áncash,Carhuaz,Carhuaz,40169401,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,61142080,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,35940069,Michael Otano,1
Áncash,Carhuaz,Carhuaz,83337587,Mary Hill,1
Áncash,Carhuaz,Carhuaz,14488582,Mary Hill,0
Áncash,Carhuaz,Carhuaz,25337055,Michael Otano,1
Áncash,Carhuaz,Carhuaz,23837779,Michael Otano,0
Áncash,Carhuaz,Carhuaz,49067595,Mary Hill,0
Áncash,Carhuaz,Carhuaz,72316814,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,36197478,Mary Hill,1
Áncash,Carhuaz,Carhuaz,32075495,Michael Otano,0
Áncash,Carhuaz,Carhuaz,65769545,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,14757439,Michael Otano,1
Áncash,Carhuaz,Carhuaz,22350814,Michael Otano,1
Áncash,Carhuaz,Carhuaz,39329776,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,34915927,Mary Hill,0
Áncash,Carhuaz,Carhuaz,10155985,Michael Otano,1
Áncash,Carhuaz,Carhuaz,75176982,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,51070734,Mary Hill,0
Áncash,Carhuaz,Carhuaz,40717206,Mary Hill,0
Áncash,Carhuaz,Carhuaz,12049111,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,37918556,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,19039029,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,44038271,Michael Otano,0
Áncash,Carhuaz,Carhuaz,56694215,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,82627670,Michael Otano,1
Áncash,Carhuaz,Carhuaz,18919341,Mary Hill,0
Áncash,Carhuaz,Carhuaz,11973210,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,64918934,Mary Hill,1
Áncash,Carhuaz,Carhuaz,75569123,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,43322630,Mary Hill,1
Áncash,Carhuaz,Carhuaz,51886569,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,58652756,Michael Otano,1
Áncash,Carhuaz,Carhuaz,49515216,Michael Otano,1
Áncash,Carhuaz,Carhuaz,16851093,Mary Hill,0
Áncash,Carhuaz,Carhuaz,82664826,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,40596573,Michael Otano,0
Áncash,Carhuaz,Carhuaz,41201808,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,42255127,Mary Hill,0
Áncash,Carhuaz,Carhuaz,18175030,Mary Hill,0
Áncash,Carhuaz,Carhuaz,63060728,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,62162299,Michael Otano,1
Áncash,Carhuaz,Carhuaz,50722968,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,12706953,Mary Hill,0
Áncash,Carhuaz,Carhuaz,68702201,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,79243625,Ethel Hickok,0
Áncash,Carhuaz,Carhuaz,80735379,Ethel Hickok,1
Áncash,Carhuaz,Carhuaz,59446014,Michael Otano,1
Áncash,Carhuaz,Carhuaz,81982241,Michael Otano,1
Áncash,Carhuaz,Carhuaz,53491066,Mary Hill,0
Áncash,Carhuaz,Carhuaz,28623684,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,74179979,Oscar Steele,0
Áncash,Carhuaz,Carhuaz,11506732,Oscar Steele,1
Áncash,Carhuaz,Carhuaz,54752042,Michael Otano,0
Áncash,Carhuaz,Carhuaz,31599538,Michael Otano,0
Áncash,Carhuaz,Carhuaz,88991060,Mary Hill,0
Áncash,Carhuaz,Carhuaz,60666090,Mary Hill,0
Áncash,Carhuaz,Carhuaz,36368126,Ethel Hickok,1
