region,provincia,ciudad,dni,candidato,esvalido
Cajamarca,San Pablo,San Pablo,73517961,Daniel Pleiman,1
Cajamarca,San Pablo,San Pablo,23401700,Susan Garcia,0
Cajamarca,San Pablo,San Pablo,50647452,Shirley Brady,0
Cajamarca,San Pablo,San Pablo,61013563,Ronald Przygocki,0
Cajamarca,San Pablo,San Pablo,53659526,William Robles,1
Cajamarca,San Pablo,San Pablo,66177311,William Robles,1
Cajamarca,San Pablo,San Pablo,32094055,William Robles,0
Cajamarca,San Pablo,San Pablo,83441393,Frederick Guerrero,0
Cajamarca,San Pablo,San Pablo,31173224,Daniel Pleiman,0
Cajamarca,San Pablo,San Pablo,38545937,Daniel Pleiman,0
Cajamarca,San Pablo,San Pablo,46070026,William Robles,0
Cajamarca,San Pablo,San Pablo,87046099,Ronald Przygocki,1
Cajamarca,San Pablo,San Pablo,48013020,Shirley Brady,0
Cajamarca,San Pablo,San Pablo,29822136,William Robles,1
Cajamarca,San Pablo,San Pablo,55437025,Susan Garcia,1
Cajamarca,San Pablo,San Pablo,54903520,William Robles,0
Cajamarca,San Pablo,San Pablo,77266007,William Robles,0
Cajamarca,San Pablo,San Pablo,62061190,Susan Garcia,1
Cajamarca,San Pablo,San Pablo,13476197,Daniel Pleiman,0
Cajamarca,San Pablo,San Pablo,30401313,Clarence Howlett,0
Cajamarca,San Pablo,San Pablo,20344974,Susan Garcia,1
Cajamarca,San Pablo,San Pablo,27101305,Shirley Brady,0
Cajamarca,San Pablo,San Pablo,22292463,Frederick Guerrero,1
Cajamarca,San Pablo,San Pablo,61465124,Frederick Guerrero,1
Cajamarca,San Pablo,San Pablo,46230968,Shirley Brady,0
Cajamarca,San Pablo,San Pablo,84928037,Frederick Guerrero,0
Cajamarca,San Pablo,San Pablo,78399750,Ronald Przygocki,1
Cajamarca,San Pablo,San Pablo,37152991,Ronald Przygocki,1
Cajamarca,San Pablo,San Pablo,79280969,William Robles,0
Cajamarca,San Pablo,San Pablo,26106628,Daniel Pleiman,0
Cajamarca,San Pablo,San Pablo,43503897,Clarence Howlett,1
Cajamarca,San Pablo,San Pablo,39669251,Clarence Howlett,0
Cajamarca,San Pablo,San Pablo,35617457,Shirley Brady,0
Cajamarca,San Pablo,San Pablo,63555308,Daniel Pleiman,1
Cajamarca,San Pablo,San Pablo,61851928,Frederick Guerrero,0
Cajamarca,San Pablo,San Pablo,60653535,Daniel Pleiman,0
Cajamarca,San Pablo,San Pablo,59134630,Shirley Brady,1
Cajamarca,San Pablo,San Pablo,68228676,William Robles,0
Cajamarca,San Pablo,San Pablo,31822760,Frederick Guerrero,0
Cajamarca,San Pablo,San Pablo,61108848,Shirley Brady,0
Cajamarca,San Pablo,San Pablo,58507084,Clarence Howlett,1
Cajamarca,San Pablo,San Pablo,54246386,Clarence Howlett,1
Cajamarca,San Pablo,San Pablo,62832495,Shirley Brady,1
Cajamarca,San Pablo,San Pablo,53145908,Susan Garcia,1
Cajamarca,San Pablo,San Pablo,41343136,Shirley Brady,1
Cajamarca,San Pablo,San Pablo,71253995,Daniel Pleiman,1
Cajamarca,San Pablo,San Pablo,21837036,William Robles,0
Cajamarca,San Pablo,San Pablo,41735210,Ronald Przygocki,1
