region,provincia,ciudad,dni,candidato,esvalido
Ayacucho,Sucre,Querobamba,17830930,Jane Bragg,1
Ayacucho,Sucre,Querobamba,26823183,Rex Dennis,1
Ayacucho,Sucre,Querobamba,50897611,Rex Dennis,0
Ayacucho,Sucre,Querobamba,25559216,Dorothy Myers,1
Ayacucho,Sucre,Querobamba,62181793,Martha Cordova,0
Ayacucho,Sucre,Querobamba,84823414,Rex Dennis,1
Ayacucho,Sucre,Querobamba,81175801,Rex Dennis,0
Ayacucho,Sucre,Querobamba,32078596,Colton Sharpe,1
Ayacucho,Sucre,Querobamba,44519224,Dorothy Myers,0
Ayacucho,Sucre,Querobamba,36921692,Martha Cordova,0
Ayacucho,Sucre,Querobamba,16398713,Martha Cordova,1
Ayacucho,Sucre,Querobamba,24345847,Margaret Anderson,1
Ayacucho,Sucre,Querobamba,38975830,Dorothy Myers,0
Ayacucho,Sucre,Querobamba,69104726,Pearlene Dobrinin,0
Ayacucho,Sucre,Querobamba,31371769,Jane Bragg,1
Ayacucho,Sucre,Querobamba,69001419,Dorothy Myers,1
Ayacucho,Sucre,Querobamba,22735920,Pearlene Dobrinin,0
Ayacucho,Sucre,Querobamba,34903738,Martha Cordova,1
Ayacucho,Sucre,Querobamba,62646978,Martha Cordova,1
Ayacucho,Sucre,Querobamba,43081911,Norma Herrera,1
Ayacucho,Sucre,Querobamba,86367409,Dorothy Myers,1
Ayacucho,Sucre,Querobamba,54898935,Colton Sharpe,0
Ayacucho,Sucre,Querobamba,21191301,Jane Bragg,0
Ayacucho,Sucre,Querobamba,64266315,Jane Bragg,1
Ayacucho,Sucre,Querobamba,83647458,Jean Meyer,0
Ayacucho,Sucre,Querobamba,84371105,Margaret Anderson,1
Ayacucho,Sucre,Querobamba,63978050,Norma Herrera,0
Ayacucho,Sucre,Querobamba,42246025,Pearlene Dobrinin,1
Ayacucho,Sucre,Querobamba,28897000,Colton Sharpe,1
Ayacucho,Sucre,Querobamba,41695066,Pearlene Dobrinin,0
Ayacucho,Sucre,Querobamba,23164890,Jean Meyer,0
Ayacucho,Sucre,Querobamba,53583351,Dorothy Myers,1
Ayacucho,Sucre,Querobamba,80867661,Jane Bragg,1
Ayacucho,Sucre,Querobamba,15739447,Martha Cordova,0
Ayacucho,Sucre,Belén,83478127,Martha Cordova,1
Ayacucho,Sucre,Belén,66875954,Martha Cordova,0
Ayacucho,Sucre,Belén,20454304,Todd Corsi,0
Ayacucho,Sucre,Belén,35271919,Colton Sharpe,1
Ayacucho,Sucre,Belén,32173428,Rex Dennis,1
Ayacucho,Sucre,Belén,64242674,Norma Herrera,0
Ayacucho,Sucre,Belén,21156465,Martha Cordova,0
Ayacucho,Sucre,Belén,36123918,Norma Herrera,1
Ayacucho,Sucre,Belén,37700848,Rex Dennis,1
Ayacucho,Sucre,Belén,46412672,Norma Herrera,0
Ayacucho,Sucre,Belén,51067594,Pearlene Dobrinin,0
Ayacucho,Sucre,Belén,46846849,Jane Bragg,0
Ayacucho,Sucre,Belén,17279352,Margaret Anderson,0
Ayacucho,Sucre,Belén,35511521,Colton Sharpe,1
Ayacucho,Sucre,Belén,32818548,Todd Corsi,0
Ayacucho,Sucre,Belén,81706652,Norma Herrera,0
Ayacucho,Sucre,Belén,39019678,Todd Corsi,0
Ayacucho,Sucre,Belén,61414858,Rex Dennis,1
Ayacucho,Sucre,Belén,66456898,Pearlene Dobrinin,0
Ayacucho,Sucre,Belén,68613049,Jane Bragg,1
Ayacucho,Sucre,Belén,13133712,Norma Herrera,0
Ayacucho,Sucre,Belén,45266225,Todd Corsi,0
Ayacucho,Sucre,Belén,25631518,Rex Dennis,1
Ayacucho,Sucre,Belén,21546649,Jane Bragg,1
Ayacucho,Sucre,Belén,73875248,Jean Meyer,0
Ayacucho,Sucre,Belén,69303781,Margaret Anderson,1
Ayacucho,Sucre,Belén,55539055,Margaret Anderson,1
Ayacucho,Sucre,Belén,51610072,Margaret Anderson,1
Ayacucho,Sucre,Belén,53688669,Colton Sharpe,0
Ayacucho,Sucre,Belén,52416964,Colton Sharpe,1
Ayacucho,Sucre,Belén,11786114,Dorothy Myers,0
Ayacucho,Sucre,Belén,88299462,Margaret Anderson,1
