region,provincia,ciudad,dni,candidato,esvalido
Cajamarca,Chota,Chota,39350561,Clarence Howlett,1
Cajamarca,Chota,Chota,58878611,Shirley Brady,1
Cajamarca,Chota,Chota,88733838,William Robles,0
Cajamarca,Chota,Chota,21934393,Frederick Guerrero,0
Cajamarca,Chota,Chota,89408022,William Robles,1
Cajamarca,Chota,Chota,52516226,Susan Garcia,1
Cajamarca,Chota,Chota,19365751,Susan Garcia,1
Cajamarca,Chota,Chota,29443911,William Robles,0
Cajamarca,Chota,Chota,21664357,Clarence Howlett,0
Cajamarca,Chota,Chota,88741845,Frederick Guerrero,1
Cajamarca,Chota,Chota,13375229,Clarence Howlett,0
Cajamarca,Chota,Chota,45767058,Daniel Pleiman,0
Cajamarca,Chota,Chota,75857862,Frederick Guerrero,1
Cajamarca,Chota,Chota,19842218,Susan Garcia,0
Cajamarca,Chota,Chota,68517478,Susan Garcia,0
Cajamarca,Chota,Chota,53743176,Ronald Przygocki,0
Cajamarca,Chota,Chota,86673211,Daniel Pleiman,0
Cajamarca,Chota,Chota,37835864,Susan Garcia,0
Cajamarca,Chota,Chota,15369058,William Robles,0
Cajamarca,Chota,Chota,48386171,Ronald Przygocki,0
Cajamarca,Chota,Chota,89404689,William Robles,0
Cajamarca,Chota,Chota,68100844,Ronald Przygocki,1
Cajamarca,Chota,Chota,70640543,Shirley Brady,1
Cajamarca,Chota,Chota,68427696,William Robles,1
Cajamarca,Chota,Chota,28297242,Susan Garcia,0
Cajamarca,Chota,Chota,84648531,Ronald Przygocki,1
Cajamarca,Chota,Chota,57222650,Shirley Brady,0
Cajamarca,Chota,Chota,50982859,Ronald Przygocki,0
Cajamarca,Chota,Chota,59601769,Ronald Przygocki,0
Cajamarca,Chota,Chota,27323378,Clarence Howlett,1
Cajamarca,Chota,Chota,59627725,Clarence Howlett,1
Cajamarca,Chota,Chota,78457877,Susan Garcia,1
Cajamarca,Chota,Chota,30143919,William Robles,1
Cajamarca,Chota,Chota,71122223,Susan Garcia,1
Cajamarca,Chota,Chota,24947605,Susan Garcia,1
Cajamarca,Chota,Chota,15112046,Ronald Przygocki,1
Cajamarca,Chota,Chota,42181538,Shirley Brady,1
Cajamarca,Chota,Chota,16105915,Ronald Przygocki,1
Cajamarca,Chota,Chota,14268271,Clarence Howlett,1
Cajamarca,Chota,Chota,71432116,Frederick Guerrero,1
Cajamarca,Chota,Chota,22728707,Ronald Przygocki,0
Cajamarca,Chota,Chota,79843011,Daniel Pleiman,0
Cajamarca,Chota,Chota,66442908,Shirley Brady,1
Cajamarca,Chota,Chota,28071844,Ronald Przygocki,0
Cajamarca,Chota,Chota,57690994,Daniel Pleiman,1
Cajamarca,Chota,Chota,83241869,William Robles,0
Cajamarca,Chota,Chota,30336281,Daniel Pleiman,1
Cajamarca,Chota,Chota,60823686,Frederick Guerrero,0
Cajamarca,Chota,Chota,34065771,Ronald Przygocki,0
Cajamarca,Chota,Chota,53768824,Susan Garcia,0
Cajamarca,Chota,Chota,27078974,Shirley Brady,1
Cajamarca,Chota,Chota,77540519,Susan Garcia,0
Cajamarca,Chota,Chota,33336579,Clarence Howlett,0
Cajamarca,Chota,Chota,61838984,William Robles,1
Cajamarca,Chota,Chota,85553363,Susan Garcia,1
Cajamarca,Chota,Chota,15275801,Daniel Pleiman,0
Cajamarca,Chota,Chota,37124808,Ronald Przygocki,1
Cajamarca,Chota,Chota,59555315,Frederick Guerrero,1
Cajamarca,Chota,Chota,10155447,Frederick Guerrero,1
Cajamarca,Chota,Chota,73930620,Susan Garcia,0
Cajamarca,Chota,Chota,38621638,Clarence Howlett,1
Cajamarca,Chota,Chota,56013729,Ronald Przygocki,0
Cajamarca,Chota,Chota,21098990,William Robles,1
Cajamarca,Chota,Chota,36556701,Ronald Przygocki,1
Cajamarca,Chota,Chota,17218468,Ronald Przygocki,1
Cajamarca,Chota,Chota,31110295,Clarence Howlett,1
Cajamarca,Chota,Chota,33057755,Daniel Pleiman,1
Cajamarca,Chota,Chota,47681680,Susan Garcia,0
Cajamarca,Chota,Chota,47102356,Clarence Howlett,1
Cajamarca,Chota,Chota,52112552,Clarence Howlett,1
Cajamarca,Chota,Chota,53898248,Shirley Brady,0
Cajamarca,Chota,Chota,65644619,Susan Garcia,1
Cajamarca,Chota,Chota,64882920,Frederick Guerrero,1
Cajamarca,Chota,Chota,65789273,Ronald Przygocki,1
Cajamarca,Chota,Chota,33364364,Susan Garcia,0
Cajamarca,Chota,Chota,54036680,Daniel Pleiman,1
Cajamarca,Chota,Chota,54872351,Daniel Pleiman,1
Cajamarca,Chota,Chota,60589447,Frederick Guerrero,0
Cajamarca,Chota,Chota,82193835,Shirley Brady,0
Cajamarca,Chota,Chota,45197633,Daniel Pleiman,1
Cajamarca,Chota,Chota,36393317,Susan Garcia,0
Cajamarca,Chota,Chota,61281316,Susan Garcia,1
Cajamarca,Chota,Chota,20664406,Susan Garcia,0
Cajamarca,Chota,Chota,64821618,Clarence Howlett,1
Cajamarca,Chota,Chota,41081634,Daniel Pleiman,0
Cajamarca,Chota,Chota,11175687,Clarence Howlett,1
Cajamarca,Chota,Chota,63038329,Shirley Brady,0
Cajamarca,Chota,Chota,34841955,Shirley Brady,1
Cajamarca,Chota,Chota,80015810,Daniel Pleiman,1
Cajamarca,Chota,Chota,44362425,Ronald Przygocki,0
Cajamarca,Chota,Chota,26335049,Daniel Pleiman,0
Cajamarca,Chota,Chota,35752439,Frederick Guerrero,1
Cajamarca,Chota,Chota,52009790,William Robles,1
Cajamarca,Chota,Chota,48092866,Daniel Pleiman,1
Cajamarca,Chota,Chota,13819270,Shirley Brady,1
Cajamarca,Chota,Chota,26320093,Clarence Howlett,1
Cajamarca,Chota,Chota,45560154,Clarence Howlett,0
Cajamarca,Chota,Chota,16964819,Susan Garcia,0
Cajamarca,Chota,Chota,10458563,Daniel Pleiman,1
Cajamarca,Chota,Chota,59017749,Shirley Brady,1
Cajamarca,Chota,Chota,47958392,Susan Garcia,0
Cajamarca,Chota,Chota,63409181,Ronald Przygocki,0
