region,provincia,ciudad,dni,candidato,esvalido
Lambayeque,Chiclayo ,Chiclayo,60176954,Todd Saylor,0
Lambayeque,Chiclayo ,Chiclayo,77613970,Eric Schultz,1
Lambayeque,Chiclayo ,Chiclayo,16411258,Sue Mcginn,0
Lambayeque,Chiclayo ,Chiclayo,33923193,Mary Gomes,1
Lambayeque,Chiclayo ,Chiclayo,88343474,Eric Schultz,0
Lambayeque,Chiclayo ,Chiclayo,39269198,Kyra Kirk,1
Lambayeque,Chiclayo ,Chiclayo,34887851,Mary Gomes,1
Lambayeque,Chiclayo ,Chiclayo,18055919,Todd Saylor,0
Lambayeque,Chiclayo ,Chiclayo,27912819,Kyra Kirk,1
Lambayeque,Chiclayo ,Chiclayo,59257822,Sue Mcginn,0
Lambayeque,Chiclayo ,Chiclayo,66364250,Mary Gomes,0
Lambayeque,Chiclayo ,Chiclayo,11939589,Stephen Williams,1
Lambayeque,Chiclayo ,Chiclayo,46969369,Eric Schultz,1
Lambayeque,Chiclayo ,Chiclayo,44124051,Eric Schultz,0
Lambayeque,Chiclayo ,Chiclayo,74363802,Stephen Williams,0
Lambayeque,Chiclayo ,Chiclayo,13717751,Stephen Williams,1
Lambayeque,Chiclayo ,Chiclayo,28817480,Eric Schultz,1
Lambayeque,Chiclayo ,Chiclayo,10092562,Sue Mcginn,1
Lambayeque,Chiclayo ,Chiclayo,15703950,Todd Saylor,1
Lambayeque,Chiclayo ,Chiclayo,57160727,Eric Schultz,0
Lambayeque,Chiclayo ,Chiclayo,81180266,Stephen Williams,1
Lambayeque,Chiclayo ,Chiclayo,44700838,Mary Gomes,1
Lambayeque,Chiclayo ,Chiclayo,33379638,Eric Schultz,1
Lambayeque,Chiclayo ,Chiclayo,77591435,Mary Gomes,0
Lambayeque,Chiclayo ,Chiclayo,67439476,Mary Gomes,0
Lambayeque,Chiclayo ,Chiclayo,63142358,Eric Schultz,1
Lambayeque,Chiclayo ,Chiclayo,45246034,Mary Gomes,1
Lambayeque,Chiclayo ,Chiclayo,71246681,Stephen Williams,0
Lambayeque,Chiclayo ,Chiclayo,11214513,Mary Gomes,0
Lambayeque,Chiclayo ,Chiclayo,39492786,Kyra Kirk,0
Lambayeque,Chiclayo ,Chiclayo,43652366,Stephen Williams,0
Lambayeque,Chiclayo ,Chiclayo,63186049,Kyra Kirk,0
Lambayeque,Chiclayo ,Chiclayo,80823585,Mary Gomes,0
